stair.thisTrialN,stair.stepSize,stair.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,corrAns,tilt,,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate
36,0.5,10.5,616.9585394,617.4579212,617.4579212,617.4579212,,right,10.5,,1,1,0.2373086,313433,1,2023-09-01_11h56.11.286,adaptive_staircase,2023.1.3,60.9462515
37,0.5,10.5,617.7246151,618.2077198,618.2077198,618.224656,618.5075547,right,10.5,,1,1,11.2104825,313433,1,2023-09-01_11h56.11.286,adaptive_staircase,2023.1.3,60.9462515
38,0.5,10.5,629.4375803,629.9371538,629.9371538,629.9371538,,left,-10.5,,0,0,0.2480382,313433,1,2023-09-01_11h56.11.286,adaptive_staircase,2023.1.3,60.9462515
39,0.5,11,630.2032243,630.6868015,630.6868015,630.7042017,630.9874487,right,11,,1,1,0.7107322,313433,1,2023-09-01_11h56.11.286,adaptive_staircase,2023.1.3,60.9462515
40,0.5,11,631.4198366,631.9198084,631.9198084,631.9198084,632.2197691,left,-11,,1,1,0.3308075,313433,1,2023-09-01_11h56.11.286,adaptive_staircase,2023.1.3,60.9462515
41,0.5,11,632.2696026,632.7692565,632.7692565,632.7692565,633.069567,right,11,,1,1,0.3928828,313433,1,2023-09-01_11h56.11.286,adaptive_staircase,2023.1.3,60.9462515
42,0.5,10.5,633.1860218,633.6694702,633.6694702,633.6858207,633.9689369,left,-10.5,,1,1,0.3181801,313433,1,2023-09-01_11h56.11.286,adaptive_staircase,2023.1.3,60.9462515
43,0.5,10.5,634.0194815,634.502567,634.502567,634.5196311,634.8025515,right,10.5,,1,1,0.3883867,313433,1,2023-09-01_11h56.11.286,adaptive_staircase,2023.1.3,60.9462515
44,0.5,10.5,634.9195016,635.4019362,635.4019362,635.4194343,635.7024574,right,10.5,,0,0,0.2769615,313433,1,2023-09-01_11h56.11.286,adaptive_staircase,2023.1.3,60.9462515
45,0.5,11,635.7024574,636.1860464,636.1860464,636.2033216,636.4865286,left,-11,,0,0,8.4560315,313433,1,2023-09-01_11h56.11.286,adaptive_staircase,2023.1.3,60.9462515
46,0.5,11.5,644.6654559,645.1649297,645.1649297,645.1649297,645.4656747,right,11.5,,1,1,0.2777728,313433,1,2023-09-01_11h56.11.286,adaptive_staircase,2023.1.3,60.9462515
47,0.5,11.5,645.4656747,645.9656401,645.9656401,645.9656401,646.2648811,left,-11.5,,1,1,0.3320622,313433,1,2023-09-01_11h56.11.286,adaptive_staircase,2023.1.3,60.9462515
48,0.5,11.5,646.3146954,646.7979097,646.7979097,646.8149886,647.0976417,left,-11.5,,0,0,0.3353704,313433,1,2023-09-01_11h56.11.286,adaptive_staircase,2023.1.3,60.9462515
49,0.5,12,647.1644794,647.6486836,647.6486836,647.6648833,647.9472531,right,12,,0,0,3.9144724,313433,1,2023-09-01_11h56.11.286,adaptive_staircase,2023.1.3,60.9462515
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,-3.428571429,,,,,,,,,,,,,,,,,
,threshold,-3.428571429,,,,,,,,,,,,,,,,,
